variant,variant_slug,layer_index,layer_name,activation_mean,activation_mean_std_over_batches,activation_std,activation_std_std_over_batches,zero_activation_ratio,zero_activation_ratio_std_over_batches
PlainNet-XavierInit,plainnet_xavier_init,3,stage1.1.relu1,0.03486726656556129,0.0014514461378052983,0.06336653530597687,0.002322200251062693,0.5662647247314453,0.0017107732385202292
PlainNet-XavierInit,plainnet_xavier_init,4,stage1.1.relu2,0.027441688627004624,0.001192289370251641,0.047484726458787915,0.0020038369254259405,0.5231616973876954,0.004819826119105838
PlainNet-XavierInit,plainnet_xavier_init,5,stage1.2.relu1,0.017187920585274696,0.0007107982228731824,0.03273876085877418,0.001478320365718608,0.5273338317871094,0.0020101767583200992
PlainNet-XavierInit,plainnet_xavier_init,6,stage1.2.relu2,0.013897552713751793,0.0005749172138847835,0.022486306726932526,0.0010120498563559366,0.430078125,0.000896718736839826
PlainNet-XavierInit,plainnet_xavier_init,7,stage1.3.relu1,0.006157835107296705,0.00024095532976684935,0.012955251522362233,0.0005116801491107049,0.6631473541259766,0.001165209192710593
PlainNet-XavierInit,plainnet_xavier_init,8,stage1.3.relu2,0.004488649871200323,0.00016901097126269962,0.008080181013792754,0.0003274172756624758,0.5048711776733399,0.0013937777571339132
PlainNet-XavierInit,plainnet_xavier_init,9,stage1.4.relu1,0.0029598088469356297,0.00010917071175027214,0.005590478889644146,0.0002371888129830481,0.5178634643554687,0.0006795461600367197
PlainNet-XavierInit,plainnet_xavier_init,10,stage1.4.relu2,0.002321250969544053,8.645609224162062e-05,0.004674750473350286,0.000199384344033063,0.5828365325927735,0.0010246873683405296
PlainNet-XavierInit,plainnet_xavier_init,11,stage1.5.relu1,0.0022900964133441446,8.860111807401979e-05,0.003953027073293924,0.00017934907161369762,0.4459983825683594,0.0004698308823409704
PlainNet-XavierInit,plainnet_xavier_init,12,stage1.5.relu2,0.0010817486559972166,4.149075649275238e-05,0.0021913259290158747,9.900631179630567e-05,0.5486923217773437,0.00036190230187181936
PlainNet-XavierInit,plainnet_xavier_init,13,stage1.6.relu1,0.0007242987980134785,2.731124251516984e-05,0.0012849226826801897,5.8573809886951946e-05,0.4587076187133789,0.0006551639550522395
