model_type,beta,depth,run_seed,lag,acf_value,gradient_norm,gradient_std,collapse_flag
feedforward,,2,5,14,0.6482170146788402,14.230272355160276,0.816457641974453,False
feedforward,,2,5,15,0.6271366077311,14.230272355160276,0.816457641974453,False
feedforward,,2,6,0,1.0,20.413945808794374,1.249536057359771,False
feedforward,,2,6,1,0.985320525299004,20.413945808794374,1.249536057359771,False
feedforward,,2,6,2,0.9685205627732739,20.413945808794374,1.249536057359771,False
feedforward,,2,6,3,0.9490374903900343,20.413945808794374,1.249536057359771,False
feedforward,,2,6,4,0.9280346870034837,20.413945808794374,1.249536057359771,False
feedforward,,2,6,5,0.9080812145155001,20.413945808794374,1.249536057359771,False
feedforward,,2,6,6,0.8865314583365635,20.413945808794374,1.249536057359771,False
feedforward,,2,6,7,0.8650293725880492,20.413945808794374,1.249536057359771,False
feedforward,,2,6,8,0.8463630738082593,20.413945808794374,1.249536057359771,False
feedforward,,2,6,9,0.8275350998606198,20.413945808794374,1.249536057359771,False
feedforward,,2,6,10,0.8123205510028743,20.413945808794374,1.249536057359771,False
feedforward,,2,6,11,0.796257659845857,20.413945808794374,1.249536057359771,False
feedforward,,2,6,12,0.779400578163849,20.413945808794374,1.249536057359771,False
feedforward,,2,6,13,0.7600048677805193,20.413945808794374,1.249536057359771,False
feedforward,,2,6,14,0.7383454082111897,20.413945808794374,1.249536057359771,False
feedforward,,2,6,15,0.7173049913389571,20.413945808794374,1.249536057359771,False
feedforward,,2,7,0,1.0,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,1,0.9611789151500777,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,2,0.9290275054211263,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,3,0.8877345426979054,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,4,0.8541711730206951,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,5,0.8143271556820626,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,6,0.7847115754783168,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,7,0.7557763122142219,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,8,0.7364411178761362,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,9,0.7139974427905972,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,10,0.6880427311785814,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,11,0.6738800375758233,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,12,0.6611892539643938,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,13,0.6560040914942261,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,14,0.6426175646214767,12.219385584623568,0.6542800624213113,False
feedforward,,2,7,15,0.6422906203113432,12.219385584623568,0.6542800624213113,False
feedforward,,2,8,0,1.0,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,1,0.9581435482108601,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,2,0.9147958412580836,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,3,0.8714664478868928,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,4,0.8318779108277167,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,5,0.8017624087134364,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,6,0.7817586386539377,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,7,0.7587519963159743,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,8,0.7307144960838995,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,9,0.702204627039078,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,10,0.6757708519536393,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,11,0.6572284919251619,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,12,0.6486857740157344,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,13,0.6405753326775285,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,14,0.637684646202448,15.535316648934922,0.6862615094763145,False
feedforward,,2,8,15,0.6318173363842957,15.535316648934922,0.6862615094763145,False
feedforward,,2,9,0,1.0,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,1,0.9920494795503246,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,2,0.9835839167564315,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,3,0.9771988594006729,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,4,0.9703998916983535,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,5,0.9621553116055066,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,6,0.9527246332295608,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,7,0.9432242544860187,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,8,0.9344448264761204,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,9,0.9244507645348744,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,10,0.9145206697339371,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,11,0.90432024373493,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,12,0.8934398848328144,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,13,0.883878546186281,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,14,0.8747866277672556,25.385192250833416,1.5659883754353516,False
feedforward,,2,9,15,0.8658033176489404,25.385192250833416,1.5659883754353516,False
feedforward,,2,10,0,1.0,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,1,0.9662244680739646,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,2,0.9350669153676203,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,3,0.9110292908125149,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,4,0.8920079208740838,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,5,0.8710385894421898,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,6,0.8523114257677193,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,7,0.8391186221752533,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,8,0.8256763824655015,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,9,0.8160008228486647,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,10,0.8061607799469293,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,11,0.7972206083715013,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,12,0.7824692170478663,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,13,0.7695731787700822,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,14,0.7517542821200023,12.090278447045636,0.7282812688258887,False
feedforward,,2,10,15,0.7349098100453985,12.090278447045636,0.7282812688258887,False
feedforward,,2,11,0,1.0,15.21600142434236,0.9508686804782487,False
feedforward,,2,11,1,0.9817025189731252,15.21600142434236,0.9508686804782487,False
feedforward,,2,11,2,0.9608215205675632,15.21600142434236,0.9508686804782487,False
feedforward,,2,11,3,0.9327387093520556,15.21600142434236,0.9508686804782487,False
feedforward,,2,11,4,0.9063356992516264,15.21600142434236,0.9508686804782487,False
feedforward,,2,11,5,0.8809362326869248,15.21600142434236,0.9508686804782487,False
feedforward,,2,11,6,0.8571874600034733,15.21600142434236,0.9508686804782487,False
