model_type,beta,depth,lag,acf_mean,acf_std,valid_runs,collapsed_runs
resnet,1.0,24,6,0.5993711571128851,0.12557894437755865,20,0
resnet,1.0,24,7,0.5488206957769449,0.13491614184034084,20,0
resnet,1.0,24,8,0.505243941672417,0.14160349265633554,20,0
resnet,1.0,24,9,0.462070369077667,0.1502272864787965,20,0
resnet,1.0,24,10,0.4249244608081977,0.15361275652047068,20,0
resnet,1.0,24,11,0.3834500034518302,0.16409733101862212,20,0
resnet,1.0,24,12,0.34524296447328884,0.17465404350102762,20,0
resnet,1.0,24,13,0.3081273029392345,0.18943574634711915,20,0
resnet,1.0,24,14,0.2753161918925023,0.20028680450575792,20,0
resnet,1.0,24,15,0.24520274309342333,0.20847718457272094,20,0
resnet,1.0,50,0,1.0,0.0,20,0
resnet,1.0,50,1,0.8949684094638654,0.042298989961015644,20,0
resnet,1.0,50,2,0.8131656704938095,0.0659999326708016,20,0
resnet,1.0,50,3,0.7343828002993981,0.08634478243724283,20,0
resnet,1.0,50,4,0.6667687532613293,0.09981242530188839,20,0
resnet,1.0,50,5,0.6046658505854221,0.11294105250330624,20,0
resnet,1.0,50,6,0.5508455129071226,0.1235599516556314,20,0
resnet,1.0,50,7,0.4910428423947234,0.14289880374048763,20,0
resnet,1.0,50,8,0.4394093593476517,0.15541037783995484,20,0
resnet,1.0,50,9,0.3929969014397951,0.16458517105689036,20,0
resnet,1.0,50,10,0.3533647701023357,0.16617996409736546,20,0
resnet,1.0,50,11,0.31655643724575777,0.16126310572047836,20,0
resnet,1.0,50,12,0.28377486337629243,0.1532405173050786,20,0
resnet,1.0,50,13,0.25093904736876205,0.14544427634030582,20,0
resnet,1.0,50,14,0.22433484943382123,0.1406743661823816,20,0
resnet,1.0,50,15,0.19924515922905311,0.14279189672679646,20,0
resnet,0.1,2,0,1.0,0.0,20,0
resnet,0.1,2,1,0.9718320152757093,0.02045350320948547,20,0
resnet,0.1,2,2,0.9458260316033489,0.036255261643784814,20,0
resnet,0.1,2,3,0.9207827912700057,0.05104026141362052,20,0
resnet,0.1,2,4,0.896492332111302,0.06563964781247791,20,0
resnet,0.1,2,5,0.8725059546012617,0.08076804790381835,20,0
resnet,0.1,2,6,0.8488578285581531,0.09504026023092428,20,0
resnet,0.1,2,7,0.8257745009278776,0.10856927703625355,20,0
resnet,0.1,2,8,0.8045308936665881,0.11929131077307459,20,0
resnet,0.1,2,9,0.7834634750931401,0.1299424144473139,20,0
resnet,0.1,2,10,0.7636752512043121,0.13856758670559235,20,0
resnet,0.1,2,11,0.742965932643809,0.15073933570660475,20,0
resnet,0.1,2,12,0.722289014948669,0.16146325753783478,20,0
resnet,0.1,2,13,0.7026066037512281,0.16921054188284798,20,0
resnet,0.1,2,14,0.6833512233416674,0.1765936966346606,20,0
resnet,0.1,2,15,0.6643146323159128,0.18346682851326857,20,0
resnet,0.1,4,0,1.0,0.0,20,0
resnet,0.1,4,1,0.9641195692602628,0.023790687446357244,20,0
resnet,0.1,4,2,0.9273554815056201,0.04845753219666392,20,0
resnet,0.1,4,3,0.8950366554890863,0.06281908773497777,20,0
resnet,0.1,4,4,0.8640573040010258,0.07291431412964156,20,0
resnet,0.1,4,5,0.8323473313359099,0.08394492798473549,20,0
resnet,0.1,4,6,0.7996606850000946,0.09643902942429525,20,0
resnet,0.1,4,7,0.7695094596138023,0.10695180262661565,20,0
resnet,0.1,4,8,0.7390371221272954,0.11956266421806774,20,0
resnet,0.1,4,9,0.7092287470250527,0.13349570609913092,20,0
resnet,0.1,4,10,0.6804486624707599,0.14660041181064012,20,0
resnet,0.1,4,11,0.6538077736202192,0.15589013104977478,20,0
resnet,0.1,4,12,0.628592619525951,0.16472949926277022,20,0
resnet,0.1,4,13,0.6023311984095285,0.1759740580731284,20,0
resnet,0.1,4,14,0.5761588143755539,0.18736669296544248,20,0
resnet,0.1,4,15,0.5497520497723007,0.1995391786335642,20,0
resnet,0.1,10,0,1.0,0.0,20,0
resnet,0.1,10,1,0.9699056447434653,0.016080166433946937,20,0
resnet,0.1,10,2,0.9390768390797974,0.03338612168610182,20,0
resnet,0.1,10,3,0.908768437799524,0.04872533120606131,20,0
resnet,0.1,10,4,0.8781909035293575,0.06528830843506989,20,0
resnet,0.1,10,5,0.8482078735602597,0.08182638537138352,20,0
resnet,0.1,10,6,0.8199644283902815,0.09775994660564057,20,0
resnet,0.1,10,7,0.7921233598999,0.11265797716233879,20,0
resnet,0.1,10,8,0.765067484219722,0.12710273195356508,20,0
resnet,0.1,10,9,0.7377688931090707,0.1410287392622616,20,0
resnet,0.1,10,10,0.7122140929989056,0.1524035472140722,20,0
resnet,0.1,10,11,0.6869851103308882,0.16269578525501832,20,0
resnet,0.1,10,12,0.6632810330551882,0.17186867706120473,20,0
resnet,0.1,10,13,0.6382361860613186,0.18135170233452208,20,0
resnet,0.1,10,14,0.6147347660403427,0.1892302737635886,20,0
resnet,0.1,10,15,0.5927738581822283,0.19569266393048468,20,0
resnet,0.1,24,0,1.0,0.0,20,0
resnet,0.1,24,1,0.9700227636459902,0.016146873349177394,20,0
resnet,0.1,24,2,0.9394893521024479,0.031284176789405135,20,0
resnet,0.1,24,3,0.9085312036439065,0.04666670719583089,20,0
resnet,0.1,24,4,0.8768300952727308,0.06337917877042232,20,0
resnet,0.1,24,5,0.846195872415791,0.07784436545508693,20,0
