model,model_slug,depth,seed,batch_index,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15
PreAct ResNet,preact,20,0,0,1.0,0.2644661075873993,0.21928051275061716,0.13869392728333763,0.3776037110281914,0.12465807790783417,0.12678049363047683,0.08688763365549684,0.2728984426265061,0.08825351042617138,0.08380983106592123,0.06015942678386592,0.20986136077819167,0.06821134435530057,0.05887646387128008,0.03991712532742835
PreAct ResNet,preact,20,0,1,1.0,0.2567930555686836,0.23456848788423273,0.1277908625288658,0.35494446549968783,0.1152546078955892,0.12814521849576616,0.07285336080635516,0.25745012731871125,0.07607031522624783,0.09049377634928599,0.04802570480460175,0.19613380317009832,0.05942956406103241,0.06788771466793503,0.03618775438386215
PreAct ResNet,preact,20,0,2,1.0,0.265087918708659,0.21945941288395485,0.1347481265093267,0.3566442203974557,0.12292606123019048,0.1237883656050788,0.08749314889726215,0.2672383669949555,0.0916800856698505,0.08921359818851496,0.0625754021881333,0.20487754501575672,0.06577520454147702,0.058957147299007806,0.039424170348513365
PreAct ResNet,preact,20,0,3,1.0,0.2593785307556668,0.2340792456244446,0.135691994639991,0.38312144916891544,0.12376192184876819,0.1352959444997804,0.08162692680955477,0.2813077305923845,0.08638138340755361,0.09686882100038988,0.0537220661827961,0.21382115674374164,0.06284207648273529,0.06661719594149472,0.036540688353639765
PreAct ResNet,preact,20,0,4,1.0,0.2596937852814301,0.23575433644950394,0.1351860304122518,0.3868501221653017,0.11983590946993253,0.13600656638333616,0.07881703170581966,0.27713788114034077,0.07825863266392713,0.09378281510584238,0.05171525745528106,0.20918065403572333,0.059410261101572964,0.06500881066374578,0.03405489061270249
ScaledShortcut lambda=1.0,scaled_l1p0,20,0,0,1.0,0.26446782951276127,0.2192782479657404,0.13869413289560045,0.3776139236182145,0.12466243439570124,0.12678079193121944,0.0868894101697208,0.2728990237286295,0.08825348280938496,0.08381122850203879,0.060159976930734646,0.2098614457843137,0.06820950102866327,0.05887649575590543,0.03991736305540188
ScaledShortcut lambda=1.0,scaled_l1p0,20,0,1,1.0,0.25678533543583004,0.23457347871794443,0.1277795896071713,0.354949306918214,0.11525616624149254,0.12814469442430493,0.07284902182818931,0.2574585928893592,0.07607049433927829,0.09049880969544676,0.048020752260606425,0.19613491401543745,0.05943515222003058,0.06788718039825102,0.036187434754503464
ScaledShortcut lambda=1.0,scaled_l1p0,20,0,2,1.0,0.2650915299348405,0.21948234721448026,0.13476440132402837,0.356655728925783,0.12293549784441168,0.12380658545007606,0.08750676356919318,0.2672524389194112,0.0916953126288263,0.0892364048270905,0.06257661960489383,0.2048613150927731,0.0657865741367491,0.0589462448531968,0.03941109600226932
ScaledShortcut lambda=1.0,scaled_l1p0,20,0,3,1.0,0.259376313130834,0.2340719400225154,0.13568471240477387,0.38312506679283176,0.12375796686292241,0.13530062332563023,0.08162761288953815,0.28131236149676453,0.08638282517918278,0.096870495074328,0.053722391474847635,0.21382324924725649,0.06284048687657612,0.06661829847213724,0.03653521310762317
ScaledShortcut lambda=1.0,scaled_l1p0,20,0,4,1.0,0.25969446939280616,0.2357554694352917,0.13518585472830746,0.38684571164145987,0.1198319451328074,0.13600469880260815,0.07881550773820298,0.27713921767892824,0.07825975849277678,0.09378792757996351,0.0517141860913156,0.20918447605821988,0.059412826049961495,0.06500940014416207,0.03405393716513429
PlainNet,plain,56,0,0,1.0,1.086763906222622e-34,9.543967221818282e-35,8.260760291237669e-35,7.062102642760661e-35,6.042156888721915e-35,5.112121284362043e-35,4.263936796539515e-35,3.4487728341559927e-35,2.7185779787770816e-35,2.1402880689491367e-35,1.6308246116260034e-35,1.1912928769950601e-35,8.243490421954762e-36,5.157998585970423e-36,3.3984673826862617e-36
